ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
044R,27/09/2005,1,1,NA,1,1,1,Autumn,2005,YEW,7.8,NA,GOOD,83,38.5,U069,1,1,1,044R38622,83,6.363687992
044R,22/05/2007,2,NA,2,1,3,3,Spring,2007,TOP_SETT,6,0.25,POOR,80.5,38.3,U069,2,9,27,044R39224,80.5,5.54344072
044W,07/06/2005,0,0,NA,2,0,0,Summer,2005,BEECH,4.9,NA,GOOD,72,38.2,NA,1,0,0,044W38510,72,7.127004511
044W,02/08/2005,0,0,NA,2,0,0,Summer,2005,BEECH,5.5,NA,GOOD,77,38.6,NA,1,0,0,044W38566,77,6.088325008
044W,27/09/2005,0,0,NA,2,0,0,Autumn,2005,BEECH,6.3,NA,GOOD,80,38.5,NA,1,0,0,044W38622,80,5.969975956
044W,25/10/2005,0,0,NA,2,0,0,Autumn,2005,BEECH,8.4,NA,GOOD,81.5,38.3,NA,1,0,0,044W38650,81.5,7.380797018
044Y,31/07/2007,0,0,NA,2,0,0,Summer,2007,JACKS_MIREY,5,0,GOOD,75,37.9,NA,1,0,0,044Y39294,75,6.160054709
044Y,23/10/2007,1,1,NA,2,0,0,Autumn,2007,JACKS_MIREY,6.5,0,GOOD,80.5,38,NA,1,0,0,044Y39378,80.5,6.005394113
044Y,06/05/2008,1,1,NA,2,1,1,Spring,2008,JACKS_MIREY,9.5,0.25,GOOD,86.5,38.5,NA,1,1,1,044Y39574,86.5,6.552251467
044Y,02/06/2009,2,NA,2,2,2,2,Summer,2009,ARTHURS,7.4,0.5,POOR,86,37.8,NA,2,4,8,044Y39966,86,5.225610733
044Y,12/05/2010,2,NA,2,2,3,3,Spring,2010,ARTHURS,10.6,NA,GOOD,87,38.4,NA,2,9,27,044Y40310,87,7.141565834
045A,09/09/2014,0,0,NA,1,0,0,Autumn,2014,BREAKHEART,5.5,0.25,GOOD,77,38.9,NA,1,0,0,045A41891,77,6.088325008
045A,05/11/2014,0,0,NA,1,0,0,Autumn,2014,BREAKHEART,8.7,0.25,GOOD,81,38.8,NA,1,0,0,045A41948,81,7.83811571
045B,18/07/2006,0,0,NA,1,0,0,Summer,2006,WEST,4,0,GOOD,70.5,38.1,NA,1,0,0,045B38916,70.5,6.33802158
